start,end,text,speaker
98.247,98.487,when,SPEAKER_01
111.39,111.57,I,SPEAKER_01
111.59,111.75,started.,SPEAKER_01
111.83,111.89,And,SPEAKER_01
111.95,111.99,at,SPEAKER_01
112.01,112.13,least,SPEAKER_01
112.17,112.35,Rails,SPEAKER_01
112.39,112.47,has,SPEAKER_01
112.53,112.67,all,SPEAKER_01
112.71,112.85,the,SPEAKER_01
112.87,113.13,headers.,SPEAKER_01
120.407,120.527,for,SPEAKER_01
120.587,120.807,account,SPEAKER_01
120.827,121.128,before,SPEAKER_01
121.148,121.368,that,SPEAKER_01
121.448,121.568,I,SPEAKER_01
121.628,122.028,could,SPEAKER_01
122.108,122.268,"see,",SPEAKER_01
122.308,122.489,so.,SPEAKER_01
123.389,123.449,I,SPEAKER_01
123.469,123.589,think,SPEAKER_01
123.609,123.709,we're,SPEAKER_01
123.769,124.03,okay.,SPEAKER_01
124.09,124.17,All,SPEAKER_05
124.19,124.51,"right,",SPEAKER_05
138.56,138.74,he,SPEAKER_01
138.84,138.98,is,SPEAKER_01
145.385,145.865,walking,SPEAKER_01
145.945,146.206,over,SPEAKER_01
147.707,147.867,to,SPEAKER_01
147.907,147.967,his,SPEAKER_01
147.987,148.487,computer.,SPEAKER_05
154.403,154.483,All,SPEAKER_01
154.503,154.603,"right,",SPEAKER_01
154.723,154.803,are,SPEAKER_01
154.823,154.883,you,SPEAKER_01
154.903,155.063,good,SPEAKER_01
155.083,155.143,on,SPEAKER_01
155.163,155.243,your,SPEAKER_01
155.364,155.544,end?,SPEAKER_01
166.55,166.61,Are,SPEAKER_01
166.63,166.69,you,SPEAKER_01
166.71,166.85,good,SPEAKER_01
166.89,166.93,on,SPEAKER_01
166.95,167.05,your,SPEAKER_01
167.07,167.13,"end,",SPEAKER_01
167.17,167.45,Nelson?,SPEAKER_01
167.551,167.631,All,SPEAKER_01
177.836,177.976,"right,",SPEAKER_01
177.996,178.557,participants,SPEAKER_01
178.617,178.717,in,SPEAKER_01
178.737,178.897,the,SPEAKER_01
178.937,179.017,"room,",SPEAKER_01
179.057,179.157,are,SPEAKER_01
179.177,179.257,you,SPEAKER_01
179.277,179.417,good,SPEAKER_01
179.457,179.517,on,SPEAKER_01
179.537,179.637,your,SPEAKER_01
179.677,179.737,end?,SPEAKER_01
179.778,179.918,Yeah.,SPEAKER_01
185.986,186.066,And,SPEAKER_01
186.146,186.546,OBS,SPEAKER_01
186.607,186.687,is,SPEAKER_01
186.807,187.147,recording.,SPEAKER_01
189.549,189.669,Let,SPEAKER_01
189.689,190.029,me,SPEAKER_01
190.189,190.81,just,SPEAKER_01
191.75,192.811,send,SPEAKER_01
192.871,193.011,him,SPEAKER_01
193.251,193.512,a,SPEAKER_02
194.292,194.853,message.,SPEAKER_02
194.873,194.993,Can,SPEAKER_02
195.013,195.253,you,SPEAKER_02
196.434,196.694,hear,SPEAKER_02
196.734,196.814,us?,SPEAKER_02
203.219,203.339,Can,SPEAKER_01
203.359,203.459,you,SPEAKER_01
203.479,203.599,hear,SPEAKER_01
203.699,203.759,us?,SPEAKER_01
224.943,225.484,Glasses,SPEAKER_02
225.564,226.024,also,SPEAKER_02
226.184,226.644,mute.,SPEAKER_02
226.985,227.125,I'm,SPEAKER_02
227.685,227.946,not,SPEAKER_02
228.066,228.406,sure,SPEAKER_02
228.466,228.546,if,SPEAKER_02
228.566,228.806,that's,SPEAKER_02
228.826,228.846,a,SPEAKER_02
228.926,229.066,good,SPEAKER_02
229.086,229.227,thing.,SPEAKER_02
229.247,229.347,Give,SPEAKER_02
229.367,229.447,me,SPEAKER_02
229.467,229.487,a,SPEAKER_02
229.507,229.647,thumbs,SPEAKER_02
234.731,234.831,up,SPEAKER_00
234.851,234.911,or,SPEAKER_00
234.991,235.071,a,SPEAKER_00
235.091,235.251,thumbs,SPEAKER_00
246.401,246.701,down.,SPEAKER_01
246.741,246.881,All,SPEAKER_01
246.901,247.021,"right,",SPEAKER_01
247.041,247.361,we're,SPEAKER_01
247.381,247.562,good,SPEAKER_01
247.582,247.662,to,SPEAKER_01
247.682,247.762,go.,SPEAKER_01
254.765,254.905,So,SPEAKER_01
254.925,255.065,we're,SPEAKER_01
255.105,255.325,now,SPEAKER_01
255.345,255.505,ready,SPEAKER_01
255.525,255.585,to,SPEAKER_01
255.605,255.845,begin,SPEAKER_01
255.865,255.925,the,SPEAKER_01
255.945,256.405,setting.,SPEAKER_01
256.485,256.566,On,SPEAKER_01
256.606,256.706,each,SPEAKER_01
256.766,256.826,of,SPEAKER_01
256.846,256.966,your,SPEAKER_01
257.006,257.586,"computers,",SPEAKER_01
257.606,257.766,you'll,SPEAKER_01
257.786,257.986,have,SPEAKER_01
258.066,258.386,access,SPEAKER_01
258.406,258.486,to,SPEAKER_01
258.526,258.606,a,SPEAKER_01
258.626,258.786,copy,SPEAKER_01
258.846,258.926,of,SPEAKER_01
258.946,259.046,the,SPEAKER_01
259.066,259.386,design,SPEAKER_01
259.406,259.746,"rubric,",SPEAKER_01
260.247,260.447,chat,SPEAKER_01
260.607,261.167,"dbt,",SPEAKER_01
261.607,261.667,and,SPEAKER_01
261.747,261.787,a,SPEAKER_01
261.807,262.147,shared,SPEAKER_01
262.167,262.347,Miro,SPEAKER_01
262.387,262.827,digital,SPEAKER_01
262.847,263.267,whiteboard.,SPEAKER_01
263.767,263.827,In,SPEAKER_01
263.867,264.128,"Miro,",SPEAKER_01
264.148,264.268,the,SPEAKER_01
264.288,264.628,toolbar,SPEAKER_01
264.668,264.828,on,SPEAKER_01
264.848,264.968,the,SPEAKER_01
264.988,265.128,left,SPEAKER_01
265.168,265.248,has,SPEAKER_01
265.268,265.528,tools,SPEAKER_01
265.568,265.728,for,SPEAKER_01
265.768,266.148,"text,",SPEAKER_01
266.208,266.488,sticky,SPEAKER_01
266.568,266.848,"notes,",SPEAKER_01
266.908,267.288,"shapes,",SPEAKER_01
267.669,267.749,and,SPEAKER_00
267.789,267.949,more,SPEAKER_00
267.969,268.109,that,SPEAKER_00
268.129,268.209,you,SPEAKER_00
268.229,268.529,can,SPEAKER_01
268.649,268.909,use.,SPEAKER_01
269.429,269.549,The,SPEAKER_01
269.569,269.709,left,SPEAKER_00
269.729,269.889,mouse,SPEAKER_00
270.009,270.249,button,SPEAKER_00
270.309,270.449,is,SPEAKER_00
270.529,270.689,used,SPEAKER_00
270.709,270.809,to,SPEAKER_00
270.829,271.33,"select,",SPEAKER_01
272.03,272.09,and,SPEAKER_00
272.13,272.23,the,SPEAKER_00
272.39,272.51,right,SPEAKER_00
272.53,272.81,mouse,SPEAKER_00
272.83,273.01,button,SPEAKER_00
273.07,273.19,is,SPEAKER_01
273.23,273.35,used,SPEAKER_01
273.37,273.45,to,SPEAKER_01
273.61,273.73,add.,SPEAKER_01
274.25,274.31,And,SPEAKER_00
274.35,274.45,the,SPEAKER_00
274.59,274.79,mouse,SPEAKER_00
274.81,274.991,wheel,SPEAKER_00
275.011,275.051,is,SPEAKER_00
275.131,275.271,used,SPEAKER_00
275.311,275.351,to,SPEAKER_00
275.371,275.451,zoom,SPEAKER_00
275.471,275.511,in,SPEAKER_00
275.551,275.631,and,SPEAKER_01
275.731,275.851,out.,SPEAKER_01
276.351,276.551,You'll,SPEAKER_01
276.651,276.891,have,SPEAKER_00
276.951,277.071,one,SPEAKER_00
277.131,277.391,hour,SPEAKER_00
277.431,277.551,to,SPEAKER_00
277.591,277.851,design,SPEAKER_00
277.891,277.951,a,SPEAKER_00
277.971,278.291,virtual,SPEAKER_01
278.331,278.511,escape,SPEAKER_00
278.551,278.652,room,SPEAKER_00
278.692,279.012,according,SPEAKER_00
279.032,279.152,to,SPEAKER_01
279.172,279.272,the,SPEAKER_01
279.292,279.752,criteria,SPEAKER_01
279.812,279.952,in,SPEAKER_01
279.972,280.072,the,SPEAKER_01
280.112,280.352,rubric.,SPEAKER_01
280.908,281.248,We'd,SPEAKER_01
281.288,281.448,like,SPEAKER_01
281.468,281.568,you,SPEAKER_01
281.588,281.748,to,SPEAKER_01
281.768,281.969,try,SPEAKER_01
281.989,282.069,to,SPEAKER_01
282.089,282.289,spread,SPEAKER_01
282.329,282.429,as,SPEAKER_01
282.449,282.569,high,SPEAKER_01
282.609,282.709,as,SPEAKER_01
282.749,283.109,"possible,",SPEAKER_01
283.149,283.229,but,SPEAKER_01
283.249,283.289,we,SPEAKER_01
283.309,283.689,understand,SPEAKER_01
283.709,283.809,that,SPEAKER_01
283.829,284.089,given,SPEAKER_01
284.17,284.33,the,SPEAKER_01
284.35,284.49,time,SPEAKER_01
284.51,284.91,"constraints,",SPEAKER_01
284.93,285.05,that,SPEAKER_01
285.07,285.47,design,SPEAKER_01
285.53,285.59,is,SPEAKER_01
285.61,285.71,not,SPEAKER_01
285.73,286.15,perfect.,SPEAKER_01
286.611,286.771,Try,SPEAKER_01
286.791,286.911,not,SPEAKER_01
286.931,287.011,to,SPEAKER_01
287.051,287.411,worry,SPEAKER_01
287.431,287.571,too,SPEAKER_01
287.611,287.811,"much,",SPEAKER_01
288.071,288.151,and,SPEAKER_01
288.171,288.411,give,SPEAKER_01
288.452,288.512,it,SPEAKER_01
288.552,288.652,your,SPEAKER_01
288.672,288.832,best,SPEAKER_01
288.852,289.032,shot.,SPEAKER_01
289.492,289.592,You,SPEAKER_01
289.612,289.712,will,SPEAKER_01
289.732,289.892,not,SPEAKER_01
289.912,290.092,need,SPEAKER_01
290.112,290.212,to,SPEAKER_01
290.232,290.592,build,SPEAKER_01
290.673,290.753,or,SPEAKER_01
290.813,291.113,implement,SPEAKER_01
291.133,291.233,your,SPEAKER_01
291.253,291.653,design.,SPEAKER_01
291.833,291.913,You,SPEAKER_01
291.953,292.053,only,SPEAKER_01
292.073,292.293,need,SPEAKER_01
292.313,292.413,to,SPEAKER_01
292.533,292.713,work,SPEAKER_01
292.733,292.934,together,SPEAKER_01
292.954,293.014,to,SPEAKER_01
293.054,293.174,come,SPEAKER_01
293.214,293.274,up,SPEAKER_01
293.294,293.394,with,SPEAKER_01
293.434,293.494,a,SPEAKER_01
293.514,293.854,design,SPEAKER_01
293.954,294.054,and,SPEAKER_01
294.094,294.454,document,SPEAKER_01
294.474,294.554,your,SPEAKER_01
294.654,294.934,design,SPEAKER_01
294.955,295.275,process,SPEAKER_01
295.335,295.515,using,SPEAKER_01
295.535,295.775,Aero.,SPEAKER_01
296.422,296.502,You,SPEAKER_01
296.522,296.762,may,SPEAKER_01
296.782,297.022,prefer,SPEAKER_01
297.042,297.122,to,SPEAKER_01
297.202,297.542,delegate,SPEAKER_01
297.582,298.202,responsibilities,SPEAKER_01
298.222,298.342,for,SPEAKER_01
298.382,298.602,using,SPEAKER_01
298.642,298.762,each,SPEAKER_01
298.782,298.842,of,SPEAKER_01
298.862,298.922,the,SPEAKER_01
298.962,299.343,available,SPEAKER_01
299.363,299.823,"tools,",SPEAKER_01
300.143,300.203,or,SPEAKER_01
300.223,300.643,divide,SPEAKER_01
300.663,300.803,their,SPEAKER_01
300.883,301.003,use,SPEAKER_01
301.023,301.403,equally.,SPEAKER_01
301.843,301.943,The,SPEAKER_01
301.983,302.363,data,SPEAKER_01
302.403,302.663,provided,SPEAKER_01
302.683,302.763,to,SPEAKER_01
302.803,302.903,these,SPEAKER_01
302.923,303.303,tools,SPEAKER_01
303.363,303.423,or,SPEAKER_01
303.443,303.643,shown,SPEAKER_01
303.743,303.943,to,SPEAKER_01
303.983,304.183,others,SPEAKER_01
304.203,304.243,is,SPEAKER_01
304.283,304.463,not,SPEAKER_01
304.483,305.144,necessarily,SPEAKER_01
305.184,305.624,protected.,SPEAKER_01
305.804,305.924,Do,SPEAKER_01
306.104,306.244,not,SPEAKER_01
306.324,306.564,enter,SPEAKER_01
306.584,306.844,personal,SPEAKER_01
306.884,307.424,information,SPEAKER_01
307.524,307.644,which,SPEAKER_01
307.664,307.764,you,SPEAKER_01
307.784,308.024,want,SPEAKER_01
308.044,308.124,to,SPEAKER_01
308.144,308.224,keep,SPEAKER_01
308.244,308.324,out,SPEAKER_01
308.364,308.404,of,SPEAKER_01
308.444,308.504,the,SPEAKER_01
308.524,308.884,recorded,SPEAKER_01
308.904,309.184,data,SPEAKER_01
309.224,309.284,on,SPEAKER_01
309.344,309.464,any,SPEAKER_01
309.504,309.544,of,SPEAKER_01
309.564,309.704,these,SPEAKER_01
309.804,310.004,tools,SPEAKER_01
310.024,310.104,or,SPEAKER_01
310.144,310.364,express,SPEAKER_01
310.404,310.564,them,SPEAKER_01
310.584,311.005,verbally,SPEAKER_01
311.025,311.225,during,SPEAKER_01
311.245,311.305,the,SPEAKER_01
311.345,311.725,experiment.,SPEAKER_01
312.785,313.005,OK.,SPEAKER_01
313.405,313.725,Boston,SPEAKER_01
313.785,313.845,and,SPEAKER_01
313.865,313.945,I,SPEAKER_01
313.965,314.065,will,SPEAKER_01
314.085,314.125,be,SPEAKER_01
314.145,314.505,available,SPEAKER_01
314.525,314.705,during,SPEAKER_01
314.725,314.885,the,SPEAKER_01
314.905,315.185,session,SPEAKER_01
315.205,315.285,to,SPEAKER_01
315.345,315.785,observe,SPEAKER_01
315.845,315.905,and,SPEAKER_01
315.965,316.145,answer,SPEAKER_01
316.185,316.726,questions,SPEAKER_01
316.746,316.846,you,SPEAKER_01
316.866,317.006,may,SPEAKER_01
317.046,317.286,have.,SPEAKER_01
317.746,317.806,If,SPEAKER_01
317.886,318.046,at,SPEAKER_01
318.106,318.206,any,SPEAKER_01
318.226,318.686,point,SPEAKER_01
318.806,318.906,you,SPEAKER_01
318.946,319.066,wish,SPEAKER_01
319.126,319.166,to,SPEAKER_01
319.206,319.506,withdraw,SPEAKER_01
319.526,319.646,from,SPEAKER_01
319.666,319.786,the,SPEAKER_01
319.806,320.006,"study,",SPEAKER_01
320.026,320.266,you,SPEAKER_01
320.346,320.566,are,SPEAKER_01
320.586,320.926,free,SPEAKER_01
321.166,321.286,to,SPEAKER_00
321.306,321.426,do,SPEAKER_00
321.446,321.586,so.,SPEAKER_00
321.606,321.926,Please,SPEAKER_00
321.966,322.066,let,SPEAKER_00
322.106,322.206,us,SPEAKER_00
322.226,322.346,know,SPEAKER_00
322.366,322.406,or,SPEAKER_00
322.426,322.747,remove,SPEAKER_00
322.767,323.007,you,SPEAKER_00
323.027,323.147,from,SPEAKER_00
323.167,323.287,the,SPEAKER_00
323.307,323.587,session.,SPEAKER_01
323.887,324.227,OK.,SPEAKER_01
324.587,324.647,It,SPEAKER_00
324.727,324.927,is,SPEAKER_00
324.967,325.187,now,SPEAKER_01
None,None,"10,",None
None,None,15,None
328.171,328.711,a.m.,SPEAKER_01
329.851,329.931,in,SPEAKER_01
329.951,330.051,the,SPEAKER_01
330.111,330.631,U.S.,SPEAKER_01
331.332,331.452,and,SPEAKER_01
None,None,4.15,None
331.492,331.532,p.m.,SPEAKER_00
331.952,332.492,in,SPEAKER_00
332.652,333.092,Germany.,SPEAKER_01
333.112,333.172,And,SPEAKER_01
334.213,334.533,you,SPEAKER_00
334.573,334.693,have,SPEAKER_00
334.793,334.853,one,SPEAKER_00
334.893,335.173,"hour,",SPEAKER_00
335.673,336.074,so,SPEAKER_01
336.694,337.094,begin.,SPEAKER_01
341.496,341.856,Okay.,SPEAKER_01
344.157,344.217,I,SPEAKER_04
344.237,344.417,guess,SPEAKER_04
344.437,344.517,we,SPEAKER_04
344.537,344.677,should,SPEAKER_04
344.737,345.077,start,SPEAKER_04
345.097,345.497,by,SPEAKER_04
346.577,346.818,taking,SPEAKER_04
346.918,346.978,on,SPEAKER_04
346.998,347.118,some,SPEAKER_04
347.138,347.618,teams.,SPEAKER_04
348.378,348.958,Yeah.,SPEAKER_04
350.959,351.119,I'm,SPEAKER_03
351.599,351.719,going,SPEAKER_03
351.739,351.919,to,SPEAKER_03
351.939,352.019,put,SPEAKER_03
352.099,352.24,a,SPEAKER_03
352.26,352.38,text,SPEAKER_03
352.4,352.54,thing,SPEAKER_03
352.8,353.04,"down,",SPEAKER_03
353.08,353.18,just,SPEAKER_03
353.2,353.3,put,SPEAKER_03
353.34,353.56,teams.,SPEAKER_03
358.277,358.417,Can,SPEAKER_03
358.477,358.777,everyone,SPEAKER_03
358.797,358.937,see,SPEAKER_03
358.977,359.157,that?,SPEAKER_03
360.158,362.479,It,SPEAKER_03
362.499,362.859,shows,SPEAKER_03
362.879,363.179,everyone,SPEAKER_03
363.239,363.299,is,SPEAKER_03
363.339,363.579,being,SPEAKER_03
363.599,363.819,like,SPEAKER_03
364.26,364.34,at,SPEAKER_03
364.36,364.48,the,SPEAKER_03
364.5,364.8,bottom,SPEAKER_03
364.82,364.86,of,SPEAKER_03
364.88,365.0,the,SPEAKER_03
365.04,365.38,"screen,",SPEAKER_03
365.42,365.56,sun,SPEAKER_03
365.58,365.98,rising.,SPEAKER_03
367.041,367.161,"So,",None
369.822,369.982,what,SPEAKER_03
370.022,370.122,are,SPEAKER_03
370.222,370.282,we,SPEAKER_03
370.322,370.863,thinking?,SPEAKER_03
371.263,371.463,Okay,SPEAKER_03
371.483,371.563,"wait,",SPEAKER_03
371.583,371.723,so,SPEAKER_03
371.743,371.863,what,SPEAKER_03
371.883,372.083,type,SPEAKER_03
375.965,376.005,of...,SPEAKER_03
386.742,386.862,What,SPEAKER_04
386.902,387.042,type,SPEAKER_03
387.102,387.182,of,SPEAKER_03
387.222,387.503,escape,SPEAKER_03
387.543,387.683,room,SPEAKER_03
387.743,387.823,are,SPEAKER_04
387.843,387.923,you,SPEAKER_04
387.943,388.223,thinking,SPEAKER_04
388.243,388.363,about?,SPEAKER_04
388.403,388.483,Are,SPEAKER_04
388.503,388.603,you,SPEAKER_04
388.703,388.984,thinking,SPEAKER_04
389.004,389.504,something,SPEAKER_04
390.144,390.324,along,SPEAKER_04
390.344,390.445,the,SPEAKER_04
390.485,390.685,lines,SPEAKER_04
390.725,390.845,of,SPEAKER_04
390.865,390.885,a,SPEAKER_04
390.905,391.525,heist?,SPEAKER_04
392.626,392.866,Because,SPEAKER_04
392.886,393.407,I've,SPEAKER_04
393.467,393.667,only,SPEAKER_04
393.687,393.867,done,SPEAKER_04
393.907,394.127,heist,SPEAKER_04
394.167,394.387,escape,SPEAKER_04
394.427,394.687,rooms.,SPEAKER_04
394.727,394.827,I'm,SPEAKER_03
394.847,394.988,not,SPEAKER_03
395.008,395.128,sure,SPEAKER_03
395.168,395.208,of,SPEAKER_03
395.228,395.348,any,SPEAKER_03
395.428,395.588,other,SPEAKER_04
395.628,396.168,types,SPEAKER_04
397.669,397.749,of,SPEAKER_03
397.809,398.17,escape,SPEAKER_03
398.37,398.61,rooms.,SPEAKER_03
399.31,399.531,"Oh,",SPEAKER_03
399.551,399.711,there's,SPEAKER_03
399.731,399.871,many.,SPEAKER_03
399.931,400.011,A,SPEAKER_03
400.051,400.291,heist,SPEAKER_03
400.351,400.451,is,SPEAKER_03
400.471,400.992,definitely,SPEAKER_03
401.012,401.032,a,SPEAKER_03
401.412,401.572,good,SPEAKER_03
401.592,401.792,sort,SPEAKER_03
401.812,401.852,of,SPEAKER_03
401.872,402.052,action,SPEAKER_03
402.072,402.172,you,SPEAKER_03
402.192,402.312,want,SPEAKER_03
402.353,402.453,to,SPEAKER_03
402.473,402.593,"make,",SPEAKER_03
402.633,402.693,and,SPEAKER_03
402.713,402.793,then,SPEAKER_03
402.813,403.073,be,SPEAKER_03
403.173,403.653,physical,SPEAKER_03
403.713,403.854,as,SPEAKER_03
403.894,404.294,well.,SPEAKER_03
404.314,407.496,Let's,SPEAKER_03
407.516,407.836,see.,SPEAKER_03
410.958,411.118,Let's,SPEAKER_03
411.138,411.279,just,SPEAKER_03
411.299,411.379,have,SPEAKER_03
411.519,411.659,that,SPEAKER_03
411.679,412.179,switch.,SPEAKER_03
413.78,413.88,"Oh,",SPEAKER_03
413.92,414.1,that's,SPEAKER_03
414.12,414.241,the,SPEAKER_03
414.321,414.541,wrong,SPEAKER_03
414.581,414.641,one.,SPEAKER_03
420.343,420.643,"Yeah,",SPEAKER_03
420.663,421.024,"so,",SPEAKER_03
421.224,421.724,and,SPEAKER_03
422.084,422.224,then,SPEAKER_03
422.264,422.765,like,SPEAKER_03
422.785,422.805,a,SPEAKER_03
422.865,424.146,museumized,SPEAKER_03
424.606,424.666,or,SPEAKER_03
424.706,424.967,like...,SPEAKER_03
428.609,428.95,Hmm.,SPEAKER_05
431.572,431.672,I,SPEAKER_02
431.712,433.853,actually,SPEAKER_02
434.394,434.834,gave,SPEAKER_02
434.914,435.454,the,SPEAKER_02
435.494,436.015,query,SPEAKER_02
436.035,436.155,to,SPEAKER_02
436.175,436.815,Chaggity.,SPEAKER_02
436.896,437.216,It,SPEAKER_02
437.236,437.476,"says,",SPEAKER_00
437.496,437.656,"yeah,",SPEAKER_00
437.716,437.796,it,SPEAKER_02
437.816,437.976,can,SPEAKER_02
437.996,438.096,be,SPEAKER_02
438.136,438.197,a,SPEAKER_02
438.277,438.497,team,SPEAKER_02
438.537,439.037,story,SPEAKER_02
439.117,439.217,and,SPEAKER_02
439.237,439.437,some,SPEAKER_02
439.457,440.078,interactive,SPEAKER_02
440.138,440.658,puzzles,SPEAKER_00
440.738,440.819,and,SPEAKER_00
440.839,441.339,multiplayer,SPEAKER_00
441.359,442.26,collaboration.,SPEAKER_02
442.5,442.64,And,SPEAKER_02
442.66,442.84,that's,SPEAKER_02
442.9,443.06,the,SPEAKER_02
443.1,443.32,whole,SPEAKER_02
443.36,443.681,idea,SPEAKER_02
443.701,443.881,about,SPEAKER_02
443.981,444.281,this,SPEAKER_02
444.461,445.002,virtual,SPEAKER_02
445.262,445.522,escape,SPEAKER_02
445.542,445.722,room.,SPEAKER_02
447.648,447.908,"Okay,",SPEAKER_00
447.928,448.168,so,SPEAKER_00
448.369,448.469,it,SPEAKER_00
448.489,448.929,says,SPEAKER_00
448.989,449.109,we,SPEAKER_02
449.129,449.249,could,SPEAKER_02
449.269,449.649,choose,SPEAKER_00
449.689,449.749,a,SPEAKER_00
449.769,450.17,platform,SPEAKER_00
450.19,450.55,like,SPEAKER_02
450.61,450.87,"Zoom,",SPEAKER_02
450.95,451.03,etc.,SPEAKER_02
451.09,451.451,"Okay,",SPEAKER_02
451.871,452.031,then,SPEAKER_02
452.211,452.451,we,SPEAKER_02
452.751,452.891,need,SPEAKER_02
453.292,453.612,to,SPEAKER_02
453.632,454.092,choose,SPEAKER_02
454.252,454.432,a,SPEAKER_00
454.573,454.913,team.,SPEAKER_00
454.973,455.273,"Okay,",SPEAKER_02
455.433,455.653,so,SPEAKER_02
456.494,456.634,what,SPEAKER_02
456.654,456.874,should,SPEAKER_02
456.894,457.014,we,SPEAKER_02
457.154,457.514,team,SPEAKER_02
457.554,457.735,like?,SPEAKER_02
457.895,457.975,I,SPEAKER_02
457.995,458.215,don't,SPEAKER_02
458.235,458.415,"know,",SPEAKER_02
458.435,458.735,Halloween,SPEAKER_02
458.795,458.915,is,SPEAKER_02
458.955,459.436,coming.,SPEAKER_02
459.476,460.156,Halloween,SPEAKER_02
460.196,460.556,sort,SPEAKER_02
460.636,460.817,of,SPEAKER_02
462.177,462.438,team,SPEAKER_02
462.498,462.718,you,SPEAKER_02
462.738,463.798,guys,SPEAKER_02
464.419,464.679,want?,SPEAKER_02
464.859,465.359,That's,SPEAKER_02
465.399,465.56,a,SPEAKER_02
465.62,465.78,great,SPEAKER_02
465.84,466.32,idea,SPEAKER_02
466.38,466.84,actually.,SPEAKER_02
467.681,469.082,"Yeah,",SPEAKER_02
469.102,469.262,like,SPEAKER_02
469.602,469.982,it's,SPEAKER_02
470.103,470.323,giving,SPEAKER_02
470.343,470.383,me,SPEAKER_02
470.403,470.983,suggestions,SPEAKER_02
471.003,471.463,"like,",SPEAKER_02
471.563,471.744,"yeah,",SPEAKER_02
471.784,471.904,you,SPEAKER_02
471.924,472.064,could,SPEAKER_02
472.224,472.384,use,SPEAKER_02
472.464,473.104,graphics,SPEAKER_02
473.164,473.405,and,SPEAKER_02
473.425,473.525,"UI,",SPEAKER_02
473.605,473.665,UX,SPEAKER_02
473.685,473.985,design.,SPEAKER_02
474.045,474.085,I,SPEAKER_02
474.145,474.345,mean,SPEAKER_02
474.385,474.525,like,SPEAKER_02
474.806,474.906,the,SPEAKER_02
474.926,475.266,main,SPEAKER_02
475.306,475.526,hurdle,SPEAKER_02
475.546,475.706,here,SPEAKER_02
475.726,475.826,for,SPEAKER_02
